,perturbation,n,r2,fid
0,KLF1/ctrl,1176,0.9337082437712859,3.304035842286151
1,TBX3/TBX2,1145,0.931277646224931,4.059560064807199
2,ETS2/CNN1,888,0.9561926145699204,2.732241446087004
3,DUSP9/ETS2,780,0.9291228836906038,9.278940195858958
4,UBASH3B/OSR2,775,0.960691488236054,2.741097077625625
5,ctrl/BAK1,760,0.956068562618995,8.240315809340029
6,ctrl/KLF1,753,0.9299297532722735,3.467988190044883
7,ctrl/ETS2,747,0.9381753941001285,3.1966863081610803
8,DUSP9/ctrl,715,0.9108730629576745,4.777133277345806
9,BAK1/ctrl,679,0.9612603057003462,7.676898881016902
10,CBL/ctrl,656,0.9548895883922509,4.678714767252686
11,SET/KLF1,655,0.9284358050672785,4.6909119346320995
12,ZNF318/ctrl,643,0.9580584613816665,1.4993159142600945
13,LHX1/ELMSAN1,640,0.9255282739170371,7.792757211578728
14,SET/CEBPE,635,0.925943420358128,5.195536919947509
15,SET/ctrl,631,0.9221685001830692,6.179725769107488
16,FOSB/ctrl,625,0.9493450795810436,2.634975355323691
17,MAML2/ctrl,619,0.9457695992020687,1.2803077604575073
18,ctrl/UBASH3B,609,0.966987511866439,1.219673881861377
19,ZC3HAV1/HOXC13,602,0.9597556860911665,1.7476179069710884
20,MAP2K3/ELMSAN1,577,0.9206533878521151,5.18834734741535
21,MAP2K3/ctrl,574,0.9443117352167771,2.4534160307244335
22,MAP2K3/MAP2K6,567,0.9495025165841777,2.1607188028851443
23,AHR/ctrl,556,0.9661080745327008,1.4929967050030992
24,CEBPE/ctrl,554,0.8997054393309275,4.2084910034530605
25,SLC6A9/ctrl,550,0.9679035485125603,1.387462879370803
26,FOXF1/ctrl,546,0.9817972006836463,0.9135543116330442
27,UBASH3B/UBASH3A,540,0.9618622270590862,1.1361932650987683
28,TMSB4X/ctrl,535,0.9737933083772952,1.0985284644416797
29,ctrl/OSR2,519,0.9521789993340143,4.599853533615848
30,ctrl/FEV,508,0.9126025220856818,6.418983977058955
31,ZC3HAV1/ctrl,498,0.9502661301697407,3.1990726281442186
32,MAPK1/TGFBR2,491,0.9513399044196629,3.5329517625541236
33,AHR/KLF1,476,0.925378036758852,4.234828422288903
34,SGK1/ctrl,474,0.9610112901074229,1.9214959710776292
35,ctrl/CNN1,474,0.9386463265150725,3.3396593348558063
36,CSRNP1/ctrl,472,0.9541497086319789,1.3651688955361134
37,CNNM4/ctrl,469,0.9737693124483677,0.9501012703223637
38,CELF2/ctrl,469,0.9584778216191202,1.5716632245540811
39,FOXA1/ctrl,467,0.9674343342550766,1.0777438670892234
40,CEBPE/KLF1,465,0.9296978772211413,3.985173633171602
41,BPGM/ctrl,463,0.9411076044755082,1.9237957840322668
42,OSR2/ctrl,461,0.9391723996600225,5.224694661682536
43,ctrl/MEIS1,460,0.9744103378048801,0.8641124041142998
44,GLB1L2/ctrl,457,0.9579196393121617,2.6545265623767555
45,ETS2/MAPK1,457,0.8594786887810392,8.48279443343937
46,MAP2K6/ELMSAN1,443,0.9432353066769348,2.4234329412665936
47,ETS2/IKZF3,442,0.9301286798360134,5.803467747689416
48,IKZF3/ctrl,442,0.9290559331923836,3.6396200202363076
49,MAP2K6/ctrl,442,0.9549587251655367,1.883288432067305
50,ETS2/PRTG,440,0.9465446747388696,3.284032366018133
51,ctrl/MAPK1,440,0.9182037554790696,3.473845558292563
52,ETS2/IGDCC3,437,0.9513921555446645,2.7449824436377064
53,ctrl/RUNX1T1,435,0.9685292599482875,1.3323549413745255
54,TSC22D1/ctrl,433,0.9679371817697751,1.8398248985982288
55,ctrl/MAP2K6,433,0.9553033726266904,1.585774484033303
56,LYL1/ctrl,427,0.9590208843878492,0.9922288830397541
57,FOSB/UBASH3B,422,0.9556424229875423,2.5328448170631077
58,ZBTB25/ctrl,421,0.959169621210301,1.087494439041473
59,IRF1/SET,418,0.8062258140112919,10.134245495793486
60,PTPN1/ctrl,413,0.9516719254261489,2.749207952125401
61,CEBPB/MAPK1,411,0.9097159085815075,4.03626732642698
62,ctrl/MAP7D1,409,0.9640078596516849,1.7647784644367714
63,ZC3HAV1/CEBPE,406,0.9428805648903722,2.710671237479776
64,CEBPE/PTPN12,404,0.9385844482241789,4.055660537770043
65,HOXB9/ctrl,404,0.9676690673695852,0.9643421186417473
66,CBL/UBASH3B,403,0.9166635640981313,4.314175536955167
67,UBASH3B/CNN1,398,0.8842415400966256,4.075248428340139
68,ctrl/TGFBR2,398,0.9797136000340081,4.021035988952123
69,ctrl/SPI1,396,0.9164121889768185,3.9675877706036644
70,CNN1/MAPK1,395,0.9499799308533823,2.224855063762986
71,KLF1/BAK1,387,0.9277634911149817,5.226991616332928
72,DLX2/ctrl,384,0.9545000265268071,1.4531043883005665
73,DUSP9/IGDCC3,377,0.9044823455164611,4.296910330970764
74,FOSB/OSR2,373,0.8886802886962257,6.691211836592011
75,LHX1/ctrl,371,0.9386252927834564,7.407788970233105
76,FOXL2/ctrl,366,0.9659895526957406,1.4559887345630944
77,ctrl/FOXA1,364,0.9639059304255314,1.2946683088701434
78,MAP4K5/ctrl,362,0.9772900773715424,1.4275372905371615
79,TBX3/ctrl,362,0.9427987148995169,2.3975696694881314
80,IGDCC3/MAPK1,362,0.9480137897310975,2.1952637022796786
81,PTPN12/PTPN9,361,0.9298336615376589,2.633335746777277
82,DUSP9/KLF1,360,0.8796584631870473,9.51863908645344
83,ctrl/UBASH3A,360,0.9704272079642813,1.4736525938900265
84,KLF1/FOXA1,359,0.9361794271540315,3.881255465279935
85,CBFA2T3/ctrl,357,0.9636611873577308,1.1385935428139895
86,POU3F2/ctrl,356,0.960525248558788,1.2885459352641924
87,MAP4K3/ctrl,355,0.9755119500365356,1.7969411175720058
88,BPGM/ZBTB1,354,0.9348031482127133,1.6459435422099045
89,CDKN1B/ctrl,350,0.9674396296844693,1.879165700377257
90,SGK1/S1PR2,349,0.9086568541054885,6.783890450804412
91,ZBTB1/ctrl,348,0.9524022285560003,1.0717868866423856
92,CLDN6/ctrl,347,0.935045594692671,2.8475624999137032
93,SAMD1/PTPN12,347,0.9388412107451304,2.0675388123085394
94,ETS2/CEBPE,347,0.8791500142300931,6.18328020317395
95,CBL/CNN1,345,0.8814714476966059,6.869220082530882
96,SGK1/TBX2,344,0.9370470913383678,3.700268183736666
97,ctrl/TBX2,344,0.9425477294422332,4.028900864942528
98,ctrl/PRTG,343,0.941833226755369,3.47786982376517
99,ctrl/DLX2,343,0.9464191031868441,1.5878087128416531
100,FOSB/PTPN12,340,0.941818117907825,3.5152707323148675
101,TBX2/ctrl,338,0.9469258035746537,3.8817107030337876
102,MAP2K3/SLC38A2,337,0.9411878240591336,2.0219359299093114
103,KLF1/TGFBR2,335,0.9416022673270072,3.3453695398541416
104,MAP7D1/ctrl,335,0.9664983597900735,1.7630541907209825
105,PTPN12/OSR2,334,0.956351639379992,2.106673659075689
106,PRTG/ctrl,334,0.9420787913487996,4.038477558261789
107,CBL/PTPN12,331,0.9151374306544612,2.899875282058872
108,RUNX1T1/ctrl,329,0.9651691264196427,1.223214333037335
109,ctrl/SLC38A2,329,0.968420849282367,1.2072583947667734
110,RREB1/ctrl,328,0.9560950838897764,0.9815330787379111
111,COL1A1/ctrl,326,0.9012850776734279,11.951063527144697
112,COL2A1/ctrl,325,0.930538372012446,11.616994771981208
113,CEBPB/PTPN12,324,0.9463071230134265,2.8982712559597346
114,FOXA3/HOXB9,323,0.9373770631943616,2.2574452999066743
115,ISL2/ctrl,323,0.9734894117414449,1.1503069503725225
116,ETS2/MAP7D1,323,0.9298727202521578,3.931537273137913
117,RHOXF2/ctrl,323,0.9459877942716268,1.5527164344458804
118,KIF2C/ctrl,320,0.9793805517861103,0.9679627451344874
119,ctrl/SET,320,0.9195795207726492,5.711887577290991
120,TGFBR2/C19ORF26,319,0.945484660585419,4.90817231581044
121,UBASH3B/PTPN9,318,0.9395520055710345,2.312808411657432
122,TGFBR2/ETS2,317,0.9644515829832246,1.654969263608347
123,RHOXF2/SET,316,0.8939203625496469,5.426547190364074
124,ctrl/FOXF1,316,0.9811746249863202,0.9527265157326834
125,EGR1/ctrl,316,0.9567881651331233,0.5705661954316561
126,MAPK1/ctrl,315,0.9151913261797765,3.430324788939661
127,ctrl/TBX3,315,0.934463424114753,2.2316083748530104
128,ctrl/ZBTB25,311,0.9568763171180693,0.9979073100954174
129,ctrl/CLDN6,309,0.9257904143544773,2.987508666861949
130,ctrl/ZBTB1,309,0.9494447978285943,1.2046860961769355
131,PTPN12/UBASH3A,306,0.9210861640931749,2.479055307500092
132,POU3F2/FOXL2,304,0.9294250984197162,2.7780635986869644
133,ctrl/KIF2C,304,0.978002951630741,0.7592504333752466
134,MEIS1/ctrl,304,0.9742674025758128,0.9265599405744549
135,KLF1/CEBPA,303,0.8327377237738172,6.0413775234130185
136,PTPN12/ZBTB25,302,0.9147183955854187,4.150239886556934
137,CBL/PTPN9,300,0.9433318404207516,3.017472727625208
138,HK2/ctrl,299,0.9586656155602484,3.2782542076381844
139,MAP2K6/SPI1,299,0.9417861947244234,3.650105347522821
140,BPGM/SAMD1,299,0.9377467605367659,2.2812255141465734
141,MAP2K6/IKZF3,298,0.9362298326466691,3.1702669294611443
142,SGK1/TBX3,297,0.9397676156286185,1.8940935382830109
143,SNAI1/UBASH3B,297,0.9588047961907016,2.034129024465262
144,KLF1/COL2A1,296,0.9135917610525647,7.464216437584193
145,DUSP9/PRTG,295,0.8939447288579043,5.2597562402159
146,TGFBR2/IGDCC3,295,0.9398734923909426,4.834126535164502
147,MIDN/ctrl,294,0.958926951055188,1.6158549812491447
148,UBASH3B/PTPN12,294,0.920398301924634,2.8714968008967574
149,MAPK1/IKZF3,293,0.9317967589349966,5.194132411854902
150,DUSP9/MAPK1,290,0.9480552849038139,3.945759929591258
151,ctrl/CBFA2T3,290,0.9650743475912369,1.314231411487265
152,FOXA1/HOXB9,288,0.9450443478630927,2.194903821842477
153,ctrl/HOXB9,287,0.968932535239163,1.1256612228913045
154,FEV/ISL2,284,0.8895788638893837,7.20198461714476
155,ctrl/FOXL2,282,0.9651538731051003,1.4171405820166854
156,PTPN12/SNAI1,280,0.9411702064760623,2.3291679397240017
157,CEBPB/ctrl,280,0.9193976071031902,3.708961436146904
158,CNN1/ctrl,279,0.9459540102425514,2.855718797682254
159,SAMD1/ctrl,278,0.9693580842636708,1.3101398708425283
160,AHR/FEV,273,0.8890385050991104,7.195765281041393
161,FOXA1/FOXF1,267,0.9537325334957002,1.796283212842635
162,HOXA13/ctrl,267,0.9389456506285845,2.9090043139065465
163,ctrl/COL2A1,266,0.9245715998166729,11.57119522973684
164,PTPN13/ctrl,265,0.9515573645712903,0.9109065554129057
165,JUN/ctrl,264,0.9428897797998491,1.7911388395949448
166,SNAI1/ctrl,261,0.9598095925882165,1.5125662737792478
167,KLF1/MAP2K6,260,0.9316644812839107,3.042406278121483
168,ZBTB10/PTPN12,259,0.9393339943426973,2.529840224231192
169,RHOXF2/ZBTB25,258,0.9369403189147207,2.1075774808853183
170,MAP2K3/IKZF3,258,0.9252303584850856,3.509779073089076
171,UBASH3B/ZBTB25,253,0.9272843148592597,2.4609764186964487
172,ctrl/ISL2,252,0.9683006897718062,1.1108493844246397
173,KIF18B/ctrl,252,0.9781133289838899,0.5256163370264613
174,TP73/ctrl,246,0.8868135894984686,2.1333086706302495
175,ctrl/PTPN9,243,0.9602942490434591,1.0379296507929308
176,TGFBR2/ctrl,242,0.9749296713098536,3.8101333784980937
177,SAMD1/UBASH3B,240,0.9448444888265968,2.0008306443196577
178,CKS1B/ctrl,240,0.9454767714023163,1.4985325137333234
179,KMT2A/ctrl,238,0.9563028736996404,1.6149058584213112
180,CEBPA/ctrl,238,0.7404341359362333,7.27911097992445
181,ZNF318/FOXL2,238,0.9589378706146985,1.4930940923813072
182,NCL/ctrl,234,0.9563098688694353,1.3883323918136004
183,KLF1/CLDN6,233,0.8962169124399973,6.866347257184753
184,PTPN12/ctrl,233,0.9380865551041715,1.2409928495023355
185,ctrl/IKZF3,233,0.91776022678174,4.132894553639918
186,ARID1A/ctrl,230,0.9446649363228237,1.9412894179169484
187,HNF4A/ctrl,228,0.9388325452491443,2.964507551926733
188,CDKN1C/ctrl,224,0.9622692889799747,3.5403848326528102
189,FOXO4/ctrl,214,0.953908958819213,1.4746856560557724
190,POU3F2/CBFA2T3,214,0.9466956132140232,1.8758735565328823
191,ctrl/HOXC13,213,0.9503109010573884,1.9343141094873584
192,FOXA3/FOXA1,213,0.9310579027061802,2.173336233959054
193,ctrl/CEBPA,211,0.8283988124519335,5.377818125864483
194,CITED1/ctrl,209,0.9606234463497728,4.805598162269405
195,SPI1/ctrl,209,0.8850548980569497,5.736767686481697
196,FOXF1/HOXB9,198,0.9443840980079204,1.5598257855757538
197,ctrl/CEBPB,198,0.9156786739108153,3.9876905116283687
198,PTPN9/ctrl,198,0.9569027317334955,1.1406867498896371
199,ctrl/SNAI1,197,0.9553670770104851,2.0786019737594046
200,FOXF1/FOXL2,192,0.9180292126636775,2.844500301381185
201,FEV/ctrl,190,0.9154331729940705,6.895615618881536
202,FOXL2/MEIS1,189,0.9408562552064041,2.3289222745885088
203,FOXA1/FOXL2,187,0.946206392281199,2.0452160034380213
204,LYL1/CEBPB,186,0.9419921238918911,3.958365221919223
205,ctrl/CDKN1B,183,0.9696224720210264,1.799059833597802
206,DUSP9/SNAI1,182,0.8718968086004477,8.521981903994137
207,SAMD1/ZBTB1,181,0.9311124778219515,2.1387025151679318
208,CEBPE/SPI1,177,0.7644236985438391,6.544710297766475
209,ZBTB10/ELMSAN1,176,0.9289254888632583,3.2913719125540286
210,NIT1/ctrl,176,0.9363237049352949,3.121218837976853
211,CNN1/UBASH3A,175,0.904809950393127,3.7926340822100872
212,BCL2L11/BAK1,174,0.9647746764768355,11.990766379939714
213,CDKN1A/ctrl,173,0.9699491899637466,1.3090398193368014
214,FOXA3/FOXF1,172,0.951761621904324,1.535313700624025
215,ctrl/CDKN1A,170,0.9584751238239893,1.7393044598507803
216,HOXC13/ctrl,163,0.9435932691707324,2.456605113752758
