,perturbation,n,r2,fid
0,CEBPE/RUNX1T1,1198,0.9359156405053338,3.0646878155877086
1,SLC4A1/ctrl,951,0.9352522534826835,1.3929921241964198
2,ctrl/CEBPE,646,0.8784601750335979,4.226380132405524
3,LYL1/IER5L,619,0.9521373322342069,1.1865761040286067
4,BCL2L11/ctrl,575,0.9664771093759368,1.9936500503902295
5,UBASH3B/ctrl,570,0.9632920694650634,1.2598786499723342
6,S1PR2/ctrl,534,0.9423886534204048,2.8867937596243927
7,BCORL1/ctrl,526,0.9696114450565663,0.8821857700291282
8,ARRDC3/ctrl,490,0.9729711543433863,1.054288025538856
9,MAPK1/PRTG,488,0.9472136560147834,2.2308200355881063
10,FOXA3/ctrl,485,0.9722587330554141,0.7803472699061107
11,BCL2L11/TGFBR2,459,0.9707365900394597,4.2819532778329545
12,UBASH3A/ctrl,446,0.9707414748915264,1.150457806319304
13,ETS2/ctrl,444,0.936040757963672,3.042955517679861
14,IRF1/ctrl,419,0.8721488152427296,6.997562026066628
15,ATL1/ctrl,375,0.9422556603260027,3.0677738499947385
16,TMSB4X/BAK1,323,0.9679648418721083,1.8273358785956315
17,PRDM1/ctrl,294,0.9139424188441069,1.7632640411280551
18,FEV/MAP7D1,274,0.9107341690447036,5.405426049332474
19,TGFBR2/PRTG,262,0.9306394067612853,4.125999876830891
20,FOSB/IKZF3,244,0.9461364745250714,2.7425237461094873
21,CEBPE/CNN1,232,0.9348854092200423,2.2623404439187613
22,ctrl/SAMD1,211,0.9666237844958318,1.1193794960848855
23,ctrl/PTPN12,210,0.9316497796358578,1.7151786532053155
24,CEBPB/OSR2,198,0.8905173541082189,5.84315770763561
25,CBL/TGFBR2,186,0.9339413595670809,4.523567817421183
26,CEBPE/CEBPA,176,0.8140740331986839,4.844825610755921
27,FOSB/CEBPE,150,0.839744190864698,5.017764144882831
28,IGDCC3/ZBTB25,141,0.9077975968728446,3.2010085683661718
29,CDKN1B/CDKN1A,128,0.9507933360418038,2.8377133899292915
30,ZBTB10/SNAI1,97,0.8694796945973187,5.209488412586012
31,KIF18B/KIF2C,93,0.9667886900503079,1.2919243301839867
32,FOXL2/HOXB9,92,0.915615412029077,2.550168684307195
