,perturbation,n,r2,fid
0,RPL3,1962,0.990935018826037,0.2160224975551177
1,PINK1,1744,0.9907943214249594,0.043089242322311705
2,DUSP9,1349,0.9919292773243216,0.09191078072542425
3,RAP1GAP,1268,0.9912830544124633,0.06027257612427306
4,STK38L,1168,0.9919685981024395,0.07568272403492138
5,SIMC1,1168,0.9922169841064452,0.04675067335467986
6,PPP2R1A,1060,0.9899056507667223,0.09694979349163724
7,ESPN,1005,0.9918494018255041,0.09546732233104649
8,ZBTB7A,969,0.9911083385326502,0.08362500255912231
9,RHOG,955,0.990969523445435,0.06813050754825056
10,PRODH,938,0.9906566273544467,0.06707463048516793
11,SRSF11,879,0.9901163572279938,0.1276699720754113
12,ITPKA,872,0.9906534519597823,0.13936226252265982
13,SLC1A5,869,0.9900312888598333,0.2493563636951368
14,HSPG2,859,0.9898922877692148,0.1793124998661515
15,SULT1A3,842,0.9909576329261601,0.0810690351589951
16,FJX1,824,0.9898688309871496,0.14128620480738974
17,MLLT6,820,0.983618352683545,0.35134088758903737
18,FOXP1,815,0.9907815013884377,0.05358545571787943
19,SLC39A9,799,0.9853099779620232,0.24535823404400503
20,FBXW7,797,0.9904027948404022,0.15645622942137472
21,ZNF718,794,0.9913544883110759,0.0722950067077317
22,PSMG3,790,0.9852908521620921,0.1870996850303257
23,PSTK,776,0.9914593084997048,0.06031531859782113
24,NUP205,773,0.9900842699843816,0.12645203505935676
25,KIF11,770,0.9910125025025087,0.13981044290917843
26,NSMF,762,0.9914873110154714,0.1221977636278222
27,MSN,741,0.9906980622588414,0.08072374536629923
28,ZNF580,735,0.9912268178992942,0.12347169974168004
29,WDR4,730,0.9891438243609669,0.10439304916085135
30,VPS41,730,0.9909105691878617,0.08624551963599814
31,TEAD3,716,0.9907554222071018,0.1235497144817419
32,RAB4B,700,0.9884100406258798,0.2819996502314446
33,SNX15,696,0.9908920699194067,0.10707119555017108
34,KRT8,692,0.9903548325546976,0.16204444653615901
35,LRRC14,690,0.9912098488359623,0.08440806984704707
36,DPH1,688,0.9899683400052977,0.10461945346342993
37,LIN54,674,0.9899674426957935,0.1304072290987648
38,LTBP4,673,0.9901724118125488,0.07282381262240634
39,GPS1,670,0.9806197049982174,0.7041926911138088
40,SHB,665,0.9904571623239797,0.09321667364764963
41,NABP2,663,0.9898441566533575,0.16452441342478963
42,RAB4A,655,0.9909926335410484,0.0792349860753383
43,RBAK,651,0.9901319769717445,0.06716399932161288
44,NXF1,651,0.9907784728588094,0.08862189322085179
45,FBXL14,647,0.9862047945386729,1.387338758407525
46,SEPTIN1,642,0.9910417923378771,0.12360507621751005
47,UQCRC1,641,0.9915735156239401,0.1194940282919621
48,ZNF574,641,0.9911897153940361,0.1221578487074595
49,TBX1,622,0.9863546229127866,0.2567846239966478
50,KCNH2,614,0.9913222848131448,0.0761952536592787
51,USP7,614,0.9899316179411501,0.1659447238170717
52,ZNF232,610,0.9914814435556233,0.08419807905880106
53,FOLR3,609,0.9894286200650563,0.26414486434035744
54,RCN1,609,0.9913486980656494,0.12097959762873955
55,HIRA,607,0.9877889902742301,0.21506093850902097
56,SLC40A1,604,0.9892160862636127,0.10347395237120338
57,METTL2B,604,0.9912837793070762,0.08845965102930009
58,PDCD6IP,596,0.9898503111205648,0.06787092204925393
59,SLC7A5,595,0.9857633715775889,0.39480843787731246
60,NOMO1,592,0.9885056693774771,0.27697850790222134
61,LIMS1,589,0.9911258235349159,0.0951421225757656
62,PPIP5K1,587,0.9910586240342601,0.12374291319050812
63,TPM4,585,0.9901234240663547,0.0759102595641945
64,PKN1,584,0.9914217984561031,0.17402398656208895
65,WBP1L,582,0.9912971357860325,0.07941109738380092
66,PPP1R3E,576,0.9908171300243833,0.15929267215623
67,SYNGR3,574,0.9870430526247135,0.3752943019877062
68,RDH13,572,0.9912141904264691,0.06753679473289509
69,RHPN1,571,0.9906584504913863,0.12263716113537981
70,PIF1,569,0.9907753930422588,0.12840429080307914
71,MIDN,567,0.9905063194501802,0.14439680064389115
72,SMARCD3,564,0.9909859875184381,0.0986535039434191
