,perturbation,n,r2,fid
0,ANAPC15,1090,0.9920865650397929,0.06907849040703695
1,DNAJC3,932,0.995957926807496,0.05012729261935789
2,CACNB3,910,0.9967028741158518,0.06985276013701558
3,CADM4,844,0.9944461097616504,0.11320399158877947
4,ABHD14B,801,0.9936500207499189,0.08689367926762337
5,CHPF,797,0.9950219847537076,0.11271928349517957
6,CCNK,745,0.9938894713266043,0.45803182871789794
7,DDX19B,721,0.9926655439489276,0.09072066369451903
8,ABCA7,707,0.9968774925244331,0.09834389811735633
9,COQ8A,686,0.9973855434592555,0.10992016683245964
10,ASF1B,679,0.9937518469578234,0.07761797884476529
11,BUB1,675,0.989265369772571,0.12620920634984678
12,ARGLU1,672,0.9690482274235707,0.5003102466444993
13,ASB13,658,0.9895764808253392,0.14308682691834917
14,CIAO1,620,0.9914284020578227,0.10063566605926155
15,AMPD2,615,0.9925427427122433,0.12439012751360679
16,COPG1,611,0.9929949493933535,0.1354658059901599
17,ARHGEF1,606,0.9938309558061735,0.06445122889856947
18,AHCTF1,583,0.9921931093640052,0.10985015619521299
19,DDN,582,0.9925250884336676,0.12656722129762343
20,BNIP3L,574,0.9947631456354438,0.05900114155554803
21,AP2M1,571,0.9950691834480438,0.11412835486780004
22,ANKRD11,562,0.9420271245850577,0.7720676275598315
23,C9orf16,560,0.9942972630465253,0.15087664206399864
24,C1orf109,560,0.9925175566126834,0.10352112370343391
25,COBL,560,0.9927971548025192,0.10719158548407037
26,CCDC124,553,0.9932719464955003,0.10896653824281799
27,ABO,552,0.9945003309741878,0.0991712759955643
28,CHORDC1,551,0.997386112737203,0.3531212954604577
29,BCAR1,534,0.9942307276476496,0.15214374192441582
30,ABCB9,531,0.9916281542418472,0.08581474163035097
31,AHNAK,530,0.9939157097151499,0.10871729528229501
32,BEST1,528,0.9962892792061534,0.17080956151870552
33,DNAJA1,522,0.9951220192634244,0.12646391495838571
34,CMPK1,517,0.9944886480275765,0.12007837751700556
35,ACTR1B,516,0.9939571203566436,0.10447047364220552
36,DES,498,0.99597466863855,0.14037224451063146
37,ACTR2,496,0.9953484776757702,0.12169490393270443
38,CNN2,495,0.9958665932327998,0.1687343565847197
39,ANKRD13B,494,0.9960283905317896,0.25593205655690987
40,CS,494,0.9900515768383397,0.13942486644317498
41,BOP1,491,0.9809261625448421,0.22893273266919145
42,ABCF1,489,0.9753442603680469,0.39458783063738956
43,DNAJC8,487,0.9894929753682918,0.1885097310722159
44,ARPC2,482,0.994222557120123,0.11776321024530567
45,CA5A,481,0.9923381875494096,0.1528334995867855
46,DESI1,481,0.9926470303929361,0.3446097881223018
47,ATXN7,480,0.997343788931132,0.2361879083476932
48,ARID1B,479,0.9947495620940715,0.15309896980154925
49,CPAMD8,473,0.9922548926486922,0.1932703915178191
