,perturbation,n,r2,fid
0,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,5335,0.8858574513417508,0.438858410032001
1,Cn1cc(/C=C/C(=O)c2cccc(F)c2)cc1/C=C/C(=O)NO,5334,0.8934257680425763,0.3395378414831427
2,Cl.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,5197,0.8849424151706469,0.3356499979031078
3,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C(C)C)CC3)nc2)cc2c1cnn2C(C)C,5012,0.8772949316267328,0.36148286715488354
4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,5004,0.847695800219319,0.46952836859437497
5,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,5003,0.8768031497829278,0.3916430100154109
6,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,4985,0.8873031809873075,0.3403745463509793
7,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],4950,0.8837244941500075,0.35249287621650893
8,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2,4932,0.8767755005904058,0.6991352277563401
9,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,4818,0.8858520819203494,0.48172056240609606
10,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,4810,0.8743899405302227,0.3720424171500518
11,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,4801,0.8259019238128007,1.2895592776132112
12,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4740,0.8901121704174968,0.38230816106490195
13,COCCCc1sc(-c2ccccc2)nc1C(=O)Nc1ccccc1-c1nc2cc(CN3CCCC3)cnc2s1.Cl,4683,0.8812377620037266,0.3876538809777905
14,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,4670,0.8799316751142685,0.38744085609999956
15,COc1ccc(/C=C/C(=O)C2(C(=O)/C=C/c3ccc(OC)c(OC)c3)CCCCC2)cc1OC,4642,0.8904502881006038,0.5279127334054898
16,CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,4630,0.8867019070636337,0.3697442701050839
17,CS(=O)(=O)c1ccc(-c2nnc(/C=C/c3nnc(-c4ccc(C#N)cc4)o3)n2-c2ccccc2Cl)nc1,4628,0.8865186756157952,0.3710580344073904
18,CC(C)(CNC(=O)c1cccc(-c2noc(C(F)(F)F)n2)c1)c1coc(-c2ccccc2)n1,4410,0.8835966279714346,0.4228589854675988
19,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,4389,0.8857635800392261,0.5184888561926222
20,O=C(c1ccc(Cl)cc1Cl)n1nnc2ccccc21,4348,0.8918538346254632,0.46696957520312665
21,NC(=O)c1ccc(I)c([N+](=O)[O-])c1,4330,0.8335230658436187,0.44249789417936825
22,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,4268,0.8943642122570665,0.5991130942187404
23,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,4240,0.8925618312034607,0.4308903337760981
24,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,4237,0.8564502204976729,0.9228330192308185
25,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,3980,0.8914266573490639,0.6367680833722531
26,CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,3966,0.8307073526205094,2.37501010416792
27,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,3924,0.8960473818817632,0.4952010103990929
28,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1.O=P(O)(O)O,3846,0.8924619648253592,0.44669500547826146
29,CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC,3822,0.8498047973507011,1.8786190895876373
30,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,3762,0.8635773489051756,0.42880740732345046
31,CS(=O)(=O)O.Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,3754,0.8922636472182031,0.41786679967922424
32,*.Cl.N[C@@H]1C[C@H]1c1ccccc1,3744,0.8520695762190655,0.3963879497955105
33,C[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,3718,0.878829801768005,0.3594617300188716
34,O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,3714,0.8807642182278982,0.3851450136626866
35,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1.Cl,3710,0.8343494785134639,0.4318554239322836
36,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3693,0.8696992366510091,0.4308907856977804
37,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,3669,0.8669227736944147,0.37775816198663037
38,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,3660,0.8620735433394867,0.39928488115412364
