,perturbation,n,r2,fid
0,Cc1nc(-c2cccnc2)sc1C(=O)Nc1ccccc1-c1cn2c(CN3CCOCC3)csc2n1,5258,0.8778954365472624,0.39956315756656124
1,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,4813,0.8443440317928,0.33967869890591373
2,CS(=O)(=O)c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,4782,0.8772663311398965,0.326446751589792
3,CS(=O)(=O)OCCCCOS(C)(=O)=O,3686,0.8639891928635896,0.6194729404095085
4,Cl.Cl.c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1,3686,0.8227544911137468,0.46706499185105343
5,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1.Cl,3607,0.8675021464795918,0.3889746133996468
6,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,3572,0.8681040668059739,0.3501699848094617
7,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,3421,0.8725520787859182,0.36847868694635366
8,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3418,0.8605047604251393,0.390015868204145
9,NC(=O)c1cccc(N)c1,3404,0.8625729360330594,0.374036605250879
10,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,3400,0.8486179964854466,0.40691240400778383
11,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,3382,0.8209088169660534,1.8385339863228296
12,CN(C)Cc1ccc(S(=O)(=O)n2ccc(/C=C/C(=O)NO)c2)cc1,3318,0.8522944934950764,0.8068446362727144
13,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,3232,0.8100994461875989,0.4106312014123503
14,N#C/C(=C(/N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F,3197,0.861683878812337,0.44054692340409574
15,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,3152,0.8797126028851265,0.5409651567665037
16,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,3085,0.8526704944681464,0.719561575106713
17,CCN(CC)C(=S)SSC(=S)N(CC)CC,3084,0.8709776004306967,0.7974253250046637
18,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,3002,0.8860175380787682,0.4659077008894741
19,CC(C)[C@H](C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,2899,0.821994647220145,1.401349249891151
20,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],2780,0.850507120353192,0.4921880603276243
21,N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,2495,0.8082046029733488,0.48648821683033816
22,CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1,2068,0.8628973402413012,1.2230369796520222
